timestamp,household_id,household_size,smart_meter,tariff_per_kwh_usd,appliance,power_watts,voltage_v,current_a,duration_minutes,energy_kwh,cost_usd,room_temp_c,outside_temp_c,occupancy_count,day_of_week,is_weekend,season,holiday_flag,date,daily_cumulative_kwh
2024-01-01 02:00:00,H0126,5,1,0.15,microwave,1232.5,229.3,5.37,73,1.4995,0.2249,25.7,34.8,3,Monday,0,winter,0,2024-01-01,5.7017999999999995
2024-01-02 10:00:00,H0094,4,1,0.12,computer,182.4,232.4,0.78,37,0.1125,0.0135,12.4,19.6,1,Tuesday,0,winter,0,2024-01-02,3.1021
2024-01-02 07:00:00,H0035,5,1,0.15,ac,215.6,227.9,0.95,20,0.0719,0.0108,14.3,23.2,0,Tuesday,0,winter,0,2024-01-02,0.6658999999999999
2024-01-02 18:00:00,H0095,4,0,0.15,phone_charger,10.6,232.1,0.05,51,0.009,0.0013,37.0,18.0,2,Tuesday,0,winter,0,2024-01-02,4.6829
2024-01-01 21:00:00,H0091,5,0,0.15,ac,210.1,228.9,0.92,53,0.1856,0.0278,16.9,9.2,5,Monday,0,winter,0,2024-01-01,6.5977
2024-01-02 16:00:00,H0127,1,0,0.15,tv,157.3,229.7,0.68,36,0.0944,0.0142,16.8,14.8,1,Tuesday,0,winter,0,2024-01-02,2.9366000000000003
2024-01-02 02:00:00,H0012,4,1,0.15,fridge,158.2,226.9,0.7,56,0.1476,0.0221,23.6,26.2,0,Tuesday,0,winter,0,2024-01-02,0.4148
2024-01-01 02:00:00,H0105,2,1,0.12,phone_charger,6.6,233.9,0.03,50,0.0055,0.0007,24.8,28.7,2,Monday,0,winter,0,2024-01-01,0.018000000000000002
2024-01-01 13:00:00,H0128,3,0,0.12,heater,311.9,237.1,1.32,21,0.1092,0.0131,4.3,11.7,0,Monday,0,winter,0,2024-01-01,7.443300000000001
2024-01-02 15:00:00,H0009,5,1,0.08,heater,366.4,225.2,1.63,46,0.2809,0.0225,25.0,22.3,2,Tuesday,0,winter,0,2024-01-02,5.0931
2024-01-01 00:00:00,H0056,4,1,0.2,ac,179.4,233.2,0.77,27,0.0807,0.0161,27.5,23.6,0,Monday,0,winter,0,2024-01-01,0.0807
2024-01-02 13:00:00,H0150,5,1,0.15,ac,284.1,234.1,1.21,58,0.2746,0.0412,25.8,18.8,4,Tuesday,0,winter,0,2024-01-02,4.2379999999999995
2024-01-01 22:00:00,H0106,3,1,0.08,lights,20.3,237.7,0.09,22,0.0074,0.0006,28.0,21.4,1,Monday,0,winter,0,2024-01-01,6.3441
2024-01-01 03:00:00,H0114,1,1,0.2,water_heater,2821.9,227.8,12.39,55,2.5868,0.5174,31.2,27.5,1,Monday,0,winter,0,2024-01-01,2.6673
2024-01-03 01:00:00,H0080,4,1,0.12,heater,212.7,225.7,0.94,24,0.0851,0.0102,28.5,28.9,0,Wednesday,0,winter,0,2024-01-03,0.088
2024-01-02 09:00:00,H0121,4,0,0.2,tv,209.2,232.6,0.9,11,0.0384,0.0077,24.9,26.5,2,Tuesday,0,winter,0,2024-01-02,0.9707
2024-01-02 08:00:00,H0012,4,1,0.15,phone_charger,13.1,236.5,0.06,38,0.0083,0.0012,25.3,35.5,0,Tuesday,0,winter,0,2024-01-02,1.8641
2024-01-02 06:00:00,H0199,3,0,0.15,oven,349.7,239.8,1.46,67,0.3905,0.0586,17.2,14.2,0,Tuesday,0,winter,0,2024-01-02,0.6678999999999999
2024-01-01 01:00:00,H0142,4,1,0.12,fridge,115.9,230.5,0.5,52,0.1004,0.012,19.7,22.4,3,Monday,0,winter,0,2024-01-01,0.10550000000000001
2024-01-01 08:00:00,H0164,1,1,0.08,washing_machine,548.9,233.3,2.35,22,0.2013,0.0161,19.6,30.7,1,Monday,0,winter,0,2024-01-01,2.2774
2024-01-02 22:00:00,H0198,4,1,0.2,lights,65.8,234.9,0.28,29,0.0318,0.0064,19.9,16.0,2,Tuesday,0,winter,0,2024-01-02,10.0116
2024-01-03 01:00:00,H0045,5,1,0.2,lights,34.3,234.6,0.15,23,0.0132,0.0026,30.5,33.9,2,Wednesday,0,winter,0,2024-01-03,0.8968
2024-01-02 16:00:00,H0093,1,0,0.2,computer,207.6,226.9,0.92,26,0.09,0.018,27.0,18.3,1,Tuesday,0,winter,0,2024-01-02,4.7312
2024-01-02 11:00:00,H0190,3,0,0.2,phone_charger,10.4,225.5,0.05,17,0.0029,0.0006,18.1,22.5,0,Tuesday,0,winter,0,2024-01-02,2.7901000000000002
2024-01-02 23:00:00,H0099,1,1,0.15,phone_charger,2.6,236.9,0.01,53,0.0023,0.0003,17.1,22.5,0,Tuesday,0,winter,0,2024-01-02,12.282
2024-01-01 20:00:00,H0199,3,0,0.15,lights,38.7,230.4,0.17,38,0.0245,0.0037,5.2,5.3,2,Monday,0,winter,0,2024-01-01,13.2976
2024-01-01 13:00:00,H0040,3,1,0.2,fridge,157.4,229.3,0.69,41,0.1076,0.0215,16.5,17.4,1,Monday,0,winter,0,2024-01-01,0.6816
2024-01-02 19:00:00,H0165,4,1,0.2,ac,335.7,233.7,1.44,54,0.3021,0.0604,20.2,9.6,2,Tuesday,0,winter,0,2024-01-02,5.8802
2024-01-02 16:00:00,H0132,2,1,0.15,phone_charger,1.0,233.5,0.0,31,0.0005,0.0001,28.1,18.6,2,Tuesday,0,winter,0,2024-01-02,5.5424999999999995
2024-01-02 23:00:00,H0177,4,1,0.15,washing_machine,93.1,234.8,0.4,87,0.135,0.0202,23.9,24.5,0,Tuesday,0,winter,0,2024-01-02,6.2447
2024-01-01 21:00:00,H0007,4,0,0.08,fridge,172.1,229.2,0.75,50,0.1434,0.0115,23.0,17.5,4,Monday,0,winter,0,2024-01-01,7.4963
2024-01-02 04:00:00,H0054,2,1,0.12,lights,1.0,228.2,0.0,55,0.0009,0.0001,19.4,21.8,0,Tuesday,0,winter,0,2024-01-02,0.3283
2024-01-02 01:00:00,H0093,1,0,0.2,ac,1400.8,233.9,5.99,10,0.2335,0.0467,27.4,28.9,0,Tuesday,0,winter,0,2024-01-02,0.2644
2024-01-03 01:00:00,H0099,1,1,0.15,microwave,782.7,234.5,3.34,87,1.1349,0.1702,22.6,29.7,0,Wednesday,0,winter,0,2024-01-03,2.8556
2024-01-02 04:00:00,H0167,1,0,0.08,phone_charger,3.4,235.4,0.01,40,0.0022,0.0002,20.6,31.8,0,Tuesday,0,winter,0,2024-01-02,1.7467000000000001
2024-01-02 13:00:00,H0067,1,1,0.2,ac,202.7,240.4,0.84,26,0.0878,0.0176,23.0,23.5,0,Tuesday,0,winter,0,2024-01-02,2.2945
2024-01-02 15:00:00,H0112,2,1,0.2,phone_charger,6.1,225.0,0.03,42,0.0043,0.0009,21.5,15.0,2,Tuesday,0,winter,0,2024-01-02,3.8262
2024-01-01 01:00:00,H0006,5,1,0.2,lights,6.0,219.5,0.03,30,0.003,0.0006,20.8,20.0,0,Monday,0,winter,0,2024-01-01,0.040600000000000004
2024-01-01 23:00:00,H0080,4,1,0.12,computer,33.9,240.0,0.14,47,0.0266,0.0032,27.4,27.4,0,Monday,0,winter,0,2024-01-01,5.6584
2024-01-02 06:00:00,H0133,1,0,0.08,lights,22.2,225.9,0.1,28,0.0104,0.0008,21.3,31.4,1,Tuesday,0,winter,0,2024-01-02,0.2425
2024-01-02 23:00:00,H0111,1,1,0.15,tv,28.0,225.4,0.12,59,0.0275,0.0041,10.1,9.8,0,Tuesday,0,winter,0,2024-01-02,6.0588999999999995
2024-01-02 11:00:00,H0001,3,1,0.08,tv,177.7,222.8,0.8,41,0.1214,0.0097,28.7,32.3,2,Tuesday,0,winter,0,2024-01-02,0.8585
2024-01-01 12:00:00,H0168,3,1,0.12,microwave,1400.6,234.9,5.96,42,0.9804,0.1176,11.9,9.5,3,Monday,0,winter,0,2024-01-01,4.5841
2024-01-01 13:00:00,H0031,4,0,0.12,tv,9.7,233.0,0.04,46,0.0074,0.0009,19.6,12.8,0,Monday,0,winter,0,2024-01-01,5.484999999999999
2024-01-01 17:00:00,H0187,1,0,0.15,lights,82.5,227.2,0.36,45,0.0619,0.0093,24.9,22.1,1,Monday,0,winter,0,2024-01-01,5.8272
